model	dockq	fnat	irmsd	lrmsd	mapping	error
vanilla_0_seq.pdb	0.327	NA	1.039	1.593	HL:HL	
vanilla_10_seq.pdb	0.362	NA	0.517	1.006	HL:HL	
vanilla_11_seq.pdb	0.335	NA	0.892	1.413	HL:HL	
vanilla_12_seq.pdb	0.356	NA	0.334	1.722	HL:HL	
vanilla_13_seq.pdb	0.337	NA	0.578	1.338	HL:HL	
vanilla_14_seq.pdb	0.369	NA	0.335	1.016	HL:HL	
vanilla_15_seq.pdb	0.332	NA	0.562	1.549	HL:HL	
vanilla_16_seq.pdb	0.38	NA	0.351	0.885	HL:HL	
vanilla_17_seq.pdb	0.354	NA	0.327	1.112	HL:HL	
vanilla_18_seq.pdb	0.332	NA	0.631	1.42	HL:HL	
vanilla_19_seq.pdb	0.368	NA	0.425	1.442	HL:HL	
vanilla_1_seq.pdb	0.365	NA	0.413	1.135	HL:HL	
vanilla_20_seq.pdb	0.339	NA	0.59	1.591	HL:HL	
vanilla_21_seq.pdb	0.296	NA	1.119	1.949	HL:HL	
vanilla_22_seq.pdb	0.359	NA	0.509	1.568	HL:HL	
vanilla_23_seq.pdb	0.23	NA	2.36	1.933	HL:HL	
vanilla_24_seq.pdb	0.343	NA	0.339	1.904	HL:HL	
vanilla_25_seq.pdb	0.298	NA	1.52	1.547	HL:HL	
vanilla_26_seq.pdb	0.34	NA	0.82	1.171	HL:HL	
vanilla_27_seq.pdb	0.316	NA	1.203	1.12	HL:HL	
vanilla_28_seq.pdb	0.349	NA	0.577	1.202	HL:HL	
vanilla_29_seq.pdb	0.348	NA	0.687	2.094	HL:HL	
vanilla_2_seq.pdb	0.33	NA	0.742	1.594	HL:HL	
vanilla_30_seq.pdb	0.309	NA	1.164	2.283	HL:HL	
vanilla_31_seq.pdb	0.355	NA	0.534	1.947	HL:HL	
vanilla_32_seq.pdb	0.348	NA	0.353	1.18	HL:HL	
vanilla_33_seq.pdb	0.359	NA	0.53	1.126	HL:HL	
vanilla_34_seq.pdb	0.348	NA	0.47	1.477	HL:HL	
vanilla_35_seq.pdb	0.34	NA	0.501	0.863	HL:HL	
vanilla_36_seq.pdb	0.337	NA	0.49	1.503	HL:HL	
vanilla_37_seq.pdb	0.275	NA	1.396	2.055	HL:HL	
vanilla_38_seq.pdb	0.325	NA	0.681	1.674	HL:HL	
vanilla_39_seq.pdb	0.372	NA	0.368	1.356	HL:HL	
vanilla_3_seq.pdb	0.341	NA	0.567	1.26	HL:HL	
vanilla_40_seq.pdb	0.37	NA	0.324	1.541	HL:HL	
vanilla_41_seq.pdb	0.287	NA	1.295	1.128	HL:HL	
vanilla_42_seq.pdb	0.357	NA	0.395	1.395	HL:HL	
vanilla_43_seq.pdb	0.356	NA	0.596	1.421	HL:HL	
vanilla_44_seq.pdb	0.342	NA	0.497	1.562	HL:HL	
vanilla_45_seq.pdb	0.357	NA	0.488	1.47	HL:HL	
vanilla_46_seq.pdb	0.338	NA	0.643	1.203	HL:HL	
vanilla_47_seq.pdb	0.365	NA	0.466	1.094	HL:HL	
vanilla_48_seq.pdb	0.373	NA	0.34	1.256	HL:HL	
vanilla_49_seq.pdb	0.368	NA	0.329	1.134	HL:HL	
vanilla_4_seq.pdb	0.338	NA	0.548	1.545	HL:HL	
vanilla_50_seq.pdb	0.34	NA	0.563	1.64	HL:HL	
vanilla_51_seq.pdb	0.331	NA	0.698	1.252	HL:HL	
vanilla_52_seq.pdb	0.29	NA	1.175	1.473	HL:HL	
vanilla_53_seq.pdb	0.367	NA	0.286	1.039	HL:HL	
vanilla_54_seq.pdb	0.342	NA	0.583	1.406	HL:HL	
vanilla_55_seq.pdb	0.312	NA	1.231	1.297	HL:HL	
vanilla_56_seq.pdb	0.291	NA	1.195	1.586	HL:HL	
vanilla_57_seq.pdb	0.329	NA	0.908	1.458	HL:HL	
vanilla_58_seq.pdb	0.285	NA	1.273	1.671	HL:HL	
vanilla_59_seq.pdb	0.371	NA	0.311	1.54	HL:HL	
vanilla_5_seq.pdb	0.339	NA	0.492	1.249	HL:HL	
vanilla_60_seq.pdb	0.297	NA	1.098	1.347	HL:HL	
vanilla_61_seq.pdb	0.257	NA	2.226	2.371	HL:HL	
vanilla_62_seq.pdb	0.369	NA	0.328	1.253	HL:HL	
vanilla_63_seq.pdb	0.33	NA	0.747	1.734	HL:HL	
vanilla_64_seq.pdb	0.331	NA	0.683	1.143	HL:HL	
vanilla_65_seq.pdb	0.349	NA	0.483	1.341	HL:HL	
vanilla_66_seq.pdb	0.317	NA	0.846	1.171	HL:HL	
vanilla_67_seq.pdb	0.358	NA	0.549	1.367	HL:HL	
vanilla_68_seq.pdb	0.364	NA	0.428	1.192	HL:HL	
vanilla_69_seq.pdb	0.34	NA	0.495	1.279	HL:HL	
vanilla_6_seq.pdb	0.339	NA	0.512	1.645	HL:HL	
vanilla_70_seq.pdb	0.331	NA	0.826	1.831	HL:HL	
vanilla_71_seq.pdb	0.296	NA	1.049	1.844	HL:HL	
vanilla_72_seq.pdb	0.364	NA	0.4	1.903	HL:HL	
vanilla_73_seq.pdb	0.363	NA	0.527	1.315	HL:HL	
vanilla_74_seq.pdb	0.367	NA	0.314	1.404	HL:HL	
vanilla_75_seq.pdb	0.341	NA	0.543	1.311	HL:HL	
vanilla_76_seq.pdb	0.36	NA	0.339	1.725	HL:HL	
vanilla_77_seq.pdb	0.269	NA	1.576	1.474	HL:HL	
vanilla_78_seq.pdb	0.343	NA	0.49	1.477	HL:HL	
vanilla_79_seq.pdb	0.34	NA	0.859	1.285	HL:HL	
vanilla_7_seq.pdb	0.295	NA	1.163	1.552	HL:HL	
